title,n1,n2,n3,n4,n5,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,slot10,file
Challenge 1,0,5,0,2,1,blue,pink,blank,blank,pink,blue,orange,yellow,orange,blue,Scan 0.jpeg
Challenge 2,0,3,1,4,0,pink,blue,pink,blank,blue,pink,orange,blue,blank,yellow,Scan 2.jpeg
Challenge 3,1,1,1,5,0,blank,orange,blue,yellow,blank,pink,blue,blue,pink,blank,Scan 4.jpeg
Challenge 4,0,1,5,1,1,yellow,blank,blue,pink,blank,blue,blank,orange,yellow,blue,Scan 6.jpeg
Challenge 5,0,4,0,3,1,blank,blank,pink,blank,pink,blue,orange,yellow,blue,blue,Scan 8.jpeg
Challenge 6,0,2,4,1,1,blank,blank,yellow,pink,blue,blank,orange,pink,yellow,blue,Scan 10.jpeg
Challenge 7,0,2,3,3,0,blue,orange,blue,pink,blank,yellow,blank,blank,blue,yellow,Scan 12.jpeg
Challenge 8,1,2,3,1,1,yellow,blank,blank,pink,orange,orange,blue,blank,blue,pink,Scan 14.jpeg
Challenge 9,1,2,2,1,2,pink,pink,blue,blank,yellow,blank,blue,blank,blue,orange,Scan 16.jpeg
Challenge 10,1,2,2,2,1,pink,pink,pink,blank,orange,yellow,blank,blue,blank,blue,Scan 18.jpeg
Challenge 11,0,5,1,1,1,blank,yellow,pink,blank,blank,blue,orange,blank,orange,blue,Scan 20.jpeg
Challenge 12,0,1,5,2,0,blue,blank,blue,pink,blank,blue,blank,orange,yellow,blank,Scan 22.jpeg
Challenge 13,0,2,2,4,0,blank,blank,yellow,blank,blue,pink,orange,pink,blank,yellow,Scan 24.jpeg
Challenge 14,0,1,4,2,1,blank,yellow,blue,blank,pink,blank,pink,pink,blue,blank,Scan 26.jpeg
Challenge 15,1,2,2,0,3,pink,blue,pink,blank,yellow,blank,blue,blank,yellow,blank,Scan 28.jpeg
Challenge 16,0,3,1,3,1,blank,blank,yellow,pink,pink,blank,blank,blue,orange,blue,Scan 30.jpeg
Challenge 17,0,2,3,2,1,blank,yellow,blank,blue,pink,blank,blank,pink,blue,blue,Scan 32.jpeg
Challenge 18,2,1,2,2,1,pink,blank,pink,yellow,orange,blank,blank,blue,blank,blue,Scan 34.jpeg
Challenge 19,1,2,2,2,1,blank,blank,yellow,orange,pink,blank,blue,blank,pink,blue,Scan 36.jpeg
Challenge 20,0,2,1,5,0,blank,blank,blue,pink,blank,blank,pink,blue,pink,blank,Scan 38.jpeg
